model,feature_type,feature,coefficient,abs_coefficient
M3_l1_tokens_bigrams_plus_qid_fe,token,case-split,-0.12452344854183951,0.12452344854183951
M3_l1_tokens_bigrams_plus_qid_fe,token,square,0.11248453829522215,0.11248453829522215
M3_l1_tokens_bigrams_plus_qid_fe,token,compute solve-equation,-0.10974615679277215,0.10974615679277215
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze check-constraint,0.10674359060776004,0.10674359060776004
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze,-0.10251374730985058,0.10251374730985058
M3_l1_tokens_bigrams_plus_qid_fe,token,state-relationship,-0.09805188722611169,0.09805188722611169
M3_l1_tokens_bigrams_plus_qid_fe,token,compare derive-intermediate,-0.09731937486630572,0.09731937486630572
M3_l1_tokens_bigrams_plus_qid_fe,token,instantiate simplify,0.0957674878430189,0.0957674878430189
M3_l1_tokens_bigrams_plus_qid_fe,token,derive-intermediate derive-intermediate,0.09282448960722027,0.09282448960722027
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze define,0.08556913626949669,0.08556913626949669
M3_l1_tokens_bigrams_plus_qid_fe,token,simplify,0.07429646171555214,0.07429646171555214
M3_l1_tokens_bigrams_plus_qid_fe,token,derive-constraint,-0.06929738317479045,0.06929738317479045
M3_l1_tokens_bigrams_plus_qid_fe,token,combine,0.06794434170923862,0.06794434170923862
M3_l1_tokens_bigrams_plus_qid_fe,token,apply-theorem,0.05103810098155609,0.05103810098155609
M3_l1_tokens_bigrams_plus_qid_fe,token,compare,-0.049461237974129886,0.049461237974129886
M3_l1_tokens_bigrams_plus_qid_fe,token,instantiate apply-formula,-0.04895348929922774,0.04895348929922774
M3_l1_tokens_bigrams_plus_qid_fe,token,instantiate,-0.04165370492714801,0.04165370492714801
M3_l1_tokens_bigrams_plus_qid_fe,token,case-split derive-intermediate,-0.04075208204860138,0.04075208204860138
M3_l1_tokens_bigrams_plus_qid_fe,token,substitute simplify,0.040196742414015225,0.040196742414015225
M3_l1_tokens_bigrams_plus_qid_fe,token,apply-formula instantiate,0.03656993509200502,0.03656993509200502
M3_l1_tokens_bigrams_plus_qid_fe,token,isolate simplify,0.035645723152030385,0.035645723152030385
M3_l1_tokens_bigrams_plus_qid_fe,token,compute case-split,0.03507701317562236,0.03507701317562236
M3_l1_tokens_bigrams_plus_qid_fe,token,substitute compute,0.03184545726526736,0.03184545726526736
M3_l1_tokens_bigrams_plus_qid_fe,token,simplify conclude,0.028534268680104658,0.028534268680104658
M3_l1_tokens_bigrams_plus_qid_fe,qid,946,0.025925842920010655,0.025925842920010655
M3_l1_tokens_bigrams_plus_qid_fe,token,factor factor,0.02585589873373975,0.02585589873373975
M3_l1_tokens_bigrams_plus_qid_fe,token,derive,0.023910925801576298,0.023910925801576298
M3_l1_tokens_bigrams_plus_qid_fe,token,case-split check-constraint,-0.021991290568984845,0.021991290568984845
M3_l1_tokens_bigrams_plus_qid_fe,token,check-constraint compute,-0.019452615437740895,0.019452615437740895
M3_l1_tokens_bigrams_plus_qid_fe,token,rewrite apply-formula,0.019317515456540826,0.019317515456540826
M3_l1_tokens_bigrams_plus_qid_fe,token,compute instantiate,-0.018971098815954247,0.018971098815954247
M3_l1_tokens_bigrams_plus_qid_fe,qid,291,0.018026944209941425,0.018026944209941425
M3_l1_tokens_bigrams_plus_qid_fe,token,compute apply-formula,0.01409544174332998,0.01409544174332998
M3_l1_tokens_bigrams_plus_qid_fe,token,check-constraint check-constraint,-0.013201246889541971,0.013201246889541971
M3_l1_tokens_bigrams_plus_qid_fe,token,analyze analyze,0.01122330888692391,0.01122330888692391
M3_l1_tokens_bigrams_plus_qid_fe,token,derive-intermediate simplify,-0.01042481829444313,0.01042481829444313
M3_l1_tokens_bigrams_plus_qid_fe,token,rewrite,0.008407792651900288,0.008407792651900288
M3_l1_tokens_bigrams_plus_qid_fe,token,derive-intermediate,-0.006898050815892258,0.006898050815892258
M3_l1_tokens_bigrams_plus_qid_fe,token,compute compare,-0.005955846601668131,0.005955846601668131
M3_l1_tokens_bigrams_plus_qid_fe,token,check-constraint,-0.005425397995094338,0.005425397995094338
M3_l1_tokens_bigrams_plus_qid_fe,token,combine-like-terms,0.0007896370996549523,0.0007896370996549523
