motif,length,success_count,failure_count,success_support,failure_support,support_difference,lift,log_odds_ratio,p_value,antecedent,consequent,antecedent_len,consequent_len,success_confidence,failure_confidence,success_rule_lift,failure_rule_lift,confidence_difference,q_value,abs_support_difference,abs_log_odds_ratio
analyze|apply-formula => rewrite,3,44,8,0.46808510638297873,0.25,0.21808510638297873,1.8723404180425531,0.932122806945291,0.03786467938353405,analyze|apply-formula,rewrite,2,1,0.6666666666666666,0.36363636363636365,1.0621468909631333,0.4012539180525349,0.303030303030303,0.0813338140538689,0.21808510638297873,0.932122806945291
compute|compute => derive-intermediate,3,23,1,0.24468085106382978,0.03125,0.21343085106382978,7.829786983489369,1.9318254091735743,0.007786385109450013,compute|compute,derive-intermediate,2,1,0.39655172413793105,0.038461538461538464,1.06502462768152,0.24615384457846157,0.3580901856763926,0.02117567167331908,0.21343085106382978,1.9318254091735743
compute => compute|simplify|conclude,4,31,4,0.32978723404255317,0.125,0.20478723404255317,2.6382978512340425,1.1447743304312723,0.038135115149771213,compute,compute|simplify|conclude,1,3,0.3974358974358974,0.15384615384615385,1.1320901288653904,1.2307692209230772,0.24358974358974356,0.0813338140538689,0.20478723404255317,1.1447743304312723
compute|compute => simplify|conclude,4,31,4,0.32978723404255317,0.125,0.20478723404255317,2.6382978512340425,1.1447743304312723,0.038135115149771213,compute|compute,simplify|conclude,2,2,0.5344827586206896,0.15384615384615385,0.8662306763606749,0.6153846129230769,0.38063660477453576,0.0813338140538689,0.20478723404255317,1.1447743304312723
compute|compute|simplify => conclude,4,31,4,0.32978723404255317,0.125,0.20478723404255317,2.6382978512340425,1.1447743304312723,0.038135115149771213,compute|compute|simplify,conclude,3,1,1.0,0.5714285714285714,1.0217391293908318,0.7032967024311073,0.4285714285714286,0.0813338140538689,0.20478723404255317,1.1447743304312723
apply-formula => compute|compute,3,27,3,0.2872340425531915,0.09375,0.19348404255319152,3.063829754553192,1.2336857016444476,0.030458933725596646,apply-formula,compute|compute,1,2,0.4090909090909091,0.13043478260869565,0.6630094033141823,0.16053511685927452,0.2786561264822135,0.0686661926971784,0.19348404255319152,1.2336857016444476
apply-formula|compute => compute,3,27,3,0.2872340425531915,0.09375,0.19348404255319152,3.063829754553192,1.2336857016444476,0.030458933725596646,apply-formula|compute,compute,2,1,0.54,0.17647058823529413,0.6507692299849706,0.21719456986843022,0.3635294117647059,0.0686661926971784,0.19348404255319152,1.2336857016444476
apply-formula => rewrite|compute|compute,4,21,1,0.22340425531914893,0.03125,0.19215425531914893,7.148935941446815,1.8152899666382492,0.013758281698993315,apply-formula,rewrite|compute|compute,1,3,0.3181818181818182,0.043478260869565216,1.1077441038875169,0.06324110662738053,0.27470355731225293,0.03351543503925386,0.19215425531914893,1.8152899666382492
apply-formula|rewrite => compute|compute,4,21,1,0.22340425531914893,0.03125,0.19215425531914893,7.148935941446815,1.8152899666382492,0.013758281698993315,apply-formula|rewrite,compute|compute,2,2,0.4772727272727273,0.125,0.7735109705332127,0.15384615365680473,0.3522727272727273,0.03351543503925386,0.19215425531914893,1.8152899666382492
apply-formula|rewrite|compute => compute,4,21,1,0.22340425531914893,0.03125,0.19215425531914893,7.148935941446815,1.8152899666382492,0.013758281698993315,apply-formula|rewrite|compute,compute,3,1,0.6,0.5,0.7230769222055227,0.6153846146272189,0.09999999999999998,0.03351543503925386,0.19215425531914893,1.8152899666382492
